Ticker,PE,Cap
MMM,N/A,59.866B
SWN,1.43,7.286B
CNX,1.65,3.23B
CHK,2.11,10.193B
BTU,3.28,3.282B
VLO,4.49,44.848B
EQT,5.36,16.089B
RRC,5.59,7.438B
MPC,5.66,57B
WU,5.97,4.283B
CMA,6.37,7.412B
AN,6.45,6.415B
OI,7.12,2.634B
APA,7.42,11.407B
CF,7.46,15.337B
VZ,7.5,156.792B
HOG,7.51,5.154B
UNM,7.8,8.806B
DVN,7.9,29.719B
MTB,7.9,22.859B
F,8.09,49.577B
RF,8.09,18.141B
PSX,8.14,59.226B
M,8.15,5.473B
C,8.17,98.517B
MO,8.19,70.949B
ZION,8.24,6.594B
DFS,8.29,27.993B
FHN,8.42,7.901B
HBAN,8.47,18.516B
PHM,8.48,22.383B
EBAY,8.7,22.499B
BWA,8.74,8.42B
HP,8.93,3.693B
NUE,8.99,43.687B
MRO,9.05,14.562B
EOG,9.22,72.44B
GNW,9.24,3.085B
MOS,9.27,11.962B
HPQ,9.28,29.99B
MUR,9.32,6.821B
BAC,9.45,267.049B
CINF,9.77,16.139B
COF,9.8,49.803B
FITB,9.97,23.842B
ADM,10.02,38.414B
JPM,10.09,488.725B
XOM,10.1,406.5B
X,10.46,10.831B
L,10.52,15.433B
PNC,10.75,61.593B
PEG,10.78,30.136B
WFC,10.78,179.258B
LEN,10.87,41.893B
PXD,10.9,53.376B
DHI,10.99,50.576B
HIG,10.99,24.038B
SUN,11.14,5.196B
AFL,11.2,47.762B
CVX,11.26,286.24B
STT,11.3,23.992B
R,11.57,5.189B
DE,11.59,112.476B
AIG,11.65,47.1B
KEY,11.76,13.548B
GCI,12,357.302M
CVS,12.06,101.363B
BK,12.18,39.984B
CMI,12.19,33.932B
CMCSA,12.24,176.822B
PFG,12.4,18.863B
PCAR,12.49,51.162B
URBN,12.5,3.353B
OMC,12.6,17.131B
HAL,12.62,32.86B
CAG,12.63,13.584B
COP,12.89,140.494B
BMY,12.97,103.991B
OKE,13.03,41.307B
CB,13.04,90.835B
USB,13.09,68.298B
ED,13.27,31.015B
OXY,13.31,53.598B
GE,13.32,139.314B
BBY,13.42,16.742B
FMC,13.57,7.958B
SLM,13.58,4.362B
NE,13.62,6.916B
IPG,13.76,12.595B
IVZ,13.87,8.103B
PDCO,13.93,2.646B
HRB,13.97,7.038B
ETR,14.41,21.149B
FDX,14.9,62.773B
CSCO,15.24,205.043B
NOC,15.25,69.945B
WMB,15.37,42.626B
D,15.43,38.857B
TROW,15.45,24.244B
PFE,15.59,161.12B
GPC,15.64,19.427B
GIS,15.74,36.731B
SNA,15.75,15.301B
UPS,15.85,133.429B
NEE,15.99,124.37B
NTRS,15.99,17.449B
DVA,16.15,9.498B
AEE,16.19,18.777B
CPB,16.22,12.762B
KMI,16.26,39.399B
EXC,16.43,35.154B
LMT,16.43,111.434B
NOV,16.48,8.18B
IP,16.65,12.56B
MS,16.7,153.495B
LEG,16.79,3.514B
CI,16.83,87.359B
CAT,16.87,151.626B
PNW,16.88,8.02B
AIZ,16.97,8.757B
LOW,17.06,127.879B
SEE,17.07,5.251B
SRE,17.11,46.52B
GILD,17.17,99.939B
TXT,17.38,15.773B
THC,17.42,7.746B
AXP,17.46,135.729B
NI,17.52,10.862B
BEN,17.56,14.939B
KR,17.57,32.482B
XRX,17.88,2.329B
MCK,18.07,60.807B
TGT,18.1,65.681B
DTE,18.12,22.614B
EMN,18.15,10.712B
PM,18.18,145.368B
AMP,18.26,38.313B
CSX,18.34,68.512B
MAS,18.34,15.109B
SLB,18.38,75.608B
CTSH,18.39,37.809B
AEP,18.46,42.325B
GS,18.53,125.222B
RL,18.57,9.386B
HUM,18.59,55.347B
AZO,18.69,44.416B
HST,19.14,14.377B
WEC,19.31,26.32B
XEL,19.48,33.962B
DRI,19.73,19.629B
HSY,19.79,37.562B
RHI,19.88,9.307B
MCHP,19.95,49.23B
AMAT,20.16,136.025B
AMGN,20.34,152.97B
TRV,20.34,43.017B
DUK,20.36,74.212B
DGX,20.45,15.432B
SYY,20.52,36.741B
PCG,20.78,45.453B
IBM,21.06,149.03B
DOV,21.18,21.57B
SPG,21.26,53.765B
DELL,21.37,54.9B
JCI,21.44,39.245B
GD,21.48,70.154B
JBL,21.65,16.38B
AON,21.93,57.862B
HRL,21.93,17.386B
TXN,22.18,155.489B
ATI,22.25,5.876B
FLS,22.26,5.461B
HD,22.32,346.799B
QCOM,22.32,161.941B
EIX,22.36,27.533B
CNP,22.48,17.876B
CMS,22.6,16.749B
UNH,22.66,482.954B
ANF,22.83,4.602B
SCHW,23.05,126.031B
KMB,23.12,40.622B
K,23.15,18.869B
GWW,23.17,41.255B
LH,23.3,19.206B
TEL,23.37,43.658B
UNP,23.58,149.778B
PG,23.68,343.776B
MAR,23.7,65.64B
